generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
167,149.06,45.5572,25.105,3.33,856,121.0,3,3,8.56,375.0,-240.5,6.0,0.0
168,328.1,48.9542,27.79,3.21,1710,155.0,8,7,17.1,768.0,-471.0,14.0,0.0
169,277.68,54.4616,25.555,-1.35,1613,142.5,3,9,13.68,620.0,-374.0,18.0,0.0
170,403.84,50.8554,26.125,1.23,2334,153.5,3,11,23.34,1017.0,-658.5,22.0,0.0
171,224.09,54.6466,27.76,-4.35,1059,151.5,3,4,10.59,490.0,-284.5,8.0,0.0
172,259.32,50.4958,34.88,1.1,1382,139.5,10,4,13.82,619.0,-381.5,8.0,0.0
173,395.8,75.5872,47.82,-0.92,1865,224.5,3,10,17.8,832.0,-474.0,20.0,0.0
174,270.62,61.5438,35.215,-1.44,1562,169.0,6,11,15.62,676.0,-443.0,22.0,0.0
175,322.33,73.6782,32.04,-2.73,1733,231.0,3,9,17.33,769.0,-482.0,18.0,0.0
176,225.03,56.121,35.46,-2.94,1203,195.0,6,6,12.03,535.0,-334.0,12.0,0.0
177,190.87,57.671,41.875,1.65,990,180.5,3,4,9.37,428.0,-254.5,8.0,0.0
178,266.13,59.9068,37.945,-3.28,1313,165.0,3,7,13.13,597.0,-358.0,14.0,0.0
179,635.83,70.0906,38.05,2.32,3483,200.0,12,17,34.83,1539.0,-972.0,34.0,0.0
180,228.33,54.2404,45.875,-1.44,1233,230.0,6,6,12.33,547.0,-343.0,12.0,0.0
181,358.35,58.9444,31.7,2.09,1785,158.0,9,9,17.85,810.0,-487.5,18.0,0.0
182,218.61,58.5776,36.655,-4.35,1011,178.0,6,6,10.11,468.0,-271.5,12.0,0.0
183,422.65,54.5318,36.74,-1.41,2565,164.5,8,11,25.65,1105.0,-730.0,22.0,0.0
184,496.33,43.933,18.5,2.6,2883,120.0,9,17,28.83,1250.0,-816.5,34.0,0.0
185,258.06,56.5858,25.95,1.63,1336,157.0,3,8,13.06,588.0,-359.0,16.0,0.0
186,295.15,56.292,36.515,4.26,1715,149.5,15,12,17.15,741.0,-487.0,24.0,0.0
187,321.63,52.552,31.825,-0.92,1613,169.0,8,13,16.13,724.0,-444.5,26.0,0.0
188,300.23,63.7534,45.32,-1.47,1523,210.5,3,5,15.23,691.0,-416.0,10.0,0.0
189,233.91,50.5968,35.945,-3.4,1241,195.0,9,7,12.41,552.0,-344.5,14.0,0.0
